Rank	Title	Author	Volume Sales	Editions Combined	Imprint	Publisher	Publication Date	Genre
1	"Da Vinci Code,The"	"Brown, Dan"	"5,094,805"	7	Corgi Books	Transworld Grp	"Monday, March 1, 2004"	"F2.1  Crime, Thriller & Adventure"
2	Harry Potter and the Deathly Hallows	"Rowling, J.K."	"4,475,152"	8	Bloomsbury Publishing PLC	Bloomsbury Grp	"Saturday, July 21, 2007"	Y2.1  Children's Fiction
3	Harry Potter and the Philosopher's Stone	"Rowling, J.K."	"4,200,654"	8	Bloomsbury Publishing PLC	Bloomsbury Grp	"Thursday, June 26, 1997"	Y2.1  Children's Fiction
4	Harry Potter and the Order of the Phoenix	"Rowling, J.K."	"4,179,479"	5	Bloomsbury Publishing PLC	Bloomsbury Grp	"Saturday, April 26, 2003"	Y2.1  Children's Fiction
5	Fifty Shades of Grey	"James, E. L."	"3,758,936"	1	Arrow Books	Random House Grp	"Thursday, April 12, 2012"	F2.5  Romance & Sagas
6	Harry Potter and the Goblet of Fire	"Rowling, J.K."	"3,583,215"	7	Bloomsbury Publishing PLC	Bloomsbury Grp	"Saturday, March 24, 2001"	Y2.1  Children's Fiction
7	Harry Potter and the Chamber of Secrets	"Rowling, J.K."	"3,484,047"	8	Bloomsbury Publishing PLC	Bloomsbury Grp	"Saturday, January 2, 1999"	Y2.1  Children's Fiction
8	Harry Potter and the Prisoner of Azkaban	"Rowling, J.K."	"3,377,906"	8	Bloomsbury Publishing PLC	Bloomsbury Grp	"Saturday, April 1, 2000"	Y2.1  Children's Fiction
9	Angels and Demons	"Brown, Dan"	"3,193,946"	5	Corgi Books	Transworld Grp	"Tuesday, July 1, 2003"	"F2.1  Crime, Thriller & Adventure"
10	Harry Potter and the Half-blood Prince:Children's Edition	"Rowling, J.K."	"2,950,264"	1	Bloomsbury Publishing PLC	Bloomsbury Grp	"Saturday, April 9, 2005"	Y2.1  Children's Fiction
11	Fifty Shades Darker	"James, E. L."	"2,479,784"	1	Arrow Books	Random House Grp	"Thursday, April 26, 2012"	F2.5  Romance & Sagas
12	Twilight	"Meyer, Stephenie"	"2,315,405"	6	ATOM	"Little, Brown Book Grp"	"Saturday, December 9, 2006"	Y2.2  Young Adult Fiction
13	"Girl with the Dragon Tattoo,The:Millennium Trilogy"	"Larsson, Stieg"	"2,233,570"	4	Quercus	Quercus Grp	"Thursday, July 24, 2008"	"F2.1  Crime, Thriller & Adventure"
14	Fifty Shades Freed	"James, E. L."	"2,193,928"	1	Arrow Books	Random House Grp	"Thursday, April 26, 2012"	F2.5  Romance & Sagas
15	"Lost Symbol,The"	"Brown, Dan"	"2,183,031"	3	Bantam Press	Transworld Grp	"Saturday, April 25, 2009"	"F2.1  Crime, Thriller & Adventure"
16	New Moon	"Meyer, Stephenie"	"2,152,737"	5	ATOM	"Little, Brown Book Grp"	"Thursday, September 6, 2007"	Y2.2  Young Adult Fiction
17	Deception Point	"Brown, Dan"	"2,062,145"	3	Corgi Books	Transworld Grp	"Saturday, May 1, 2004"	"F2.1  Crime, Thriller & Adventure"
18	Eclipse	"Meyer, Stephenie"	"2,052,876"	7	ATOM	"Little, Brown Book Grp"	"Friday, June 27, 2008"	Y2.2  Young Adult Fiction
19	"Lovely Bones,The"	"Sebold, Alice"	"2,005,598"	3	Picador	Pan Macmillan Grp	"Friday, June 6, 2003"	F1.1  General & Literary Fiction
20	"Curious Incident of the Dog in the Night-time,The"	"Haddon, Mark"	"1,979,552"	4	Vintage	Random House Grp	"Thursday, April 1, 2004"	F1.1  General & Literary Fiction
21	Digital Fortress	"Brown, Dan"	"1,928,900"	2	Corgi Books	Transworld Grp	"Friday, March 5, 2004"	"F2.1  Crime, Thriller & Adventure"
